n_tasks,doping_level,seed,greedy_score,alns_score,alns_gain,alns_win,disagreement,ambiguity,ambiguity_active,strict_feasible_states,alns_hard_violations,greedy_collaboration_rate,alns_collaboration_rate,uniform_optimal_probability,qaoa_p1_optimal_probability,qaoa_p2_optimal_probability,uniform_time_to_optimum,qaoa_time_to_optimum,uniform_near_optimal_coverage,qaoa_near_optimal_coverage,adoption_gate
12,2,307,93.36279262591032,128.2238865654894,34.86109393957909,True,0.5833333333333334,1.0,True,56,0,0.3333333333333333,0.75,0.017857142857142856,0.14157353658092772,0.032127666948388936,29,67,1.0,1.0,False
12,2,401,99.43387344384885,99.43387344384885,0.0,False,0.0,0.0,False,81,0,0.6666666666666666,0.6666666666666666,0.012345679012345678,0.221294813571419,0.23138462806686905,73,2,1.0,1.0,False
12,3,101,80.1764843675909,80.1764843675909,0.0,False,0.0,0.0,False,52,0,0.6666666666666666,0.6666666666666666,0.019230769230769232,0.2286910993607975,0.04245019117437757,32,8,1.0,1.0,False
12,3,211,96.78220856222727,96.78220856222727,0.0,False,0.0,0.0,False,23,0,0.6666666666666666,0.6666666666666666,0.043478260869565216,0.3797611293087232,0.08687166542075057,10,5,1.0,1.0,False
12,3,307,78.65273614223864,125.21347623858156,46.560740096342926,True,0.4166666666666667,1.0,True,0,0,0.3333333333333333,0.75,0.024390243902439025,0.14773047317656293,0.08344653704658117,129,4,0.75,1.0,False
12,3,401,102.84150152313187,102.84150152313187,0.0,False,0.0,0.0,False,72,0,0.75,0.75,0.013888888888888888,0.18995593817994963,0.18578771929242324,9,1,1.0,1.0,False
18,0,101,162.77977516221003,167.16842590731937,4.388650745109345,True,0.1111111111111111,0.4423754548796669,True,54,0,0.4444444444444444,0.5555555555555556,0.018518518518518517,0.3533616733575802,0.034632424424941494,19,35,1.0,1.0,False
18,0,211,120.92715938775468,145.9967453595663,25.069585971811605,True,0.3333333333333333,1.0,True,81,0,0.3333333333333333,0.6666666666666666,0.012345679012345678,0.28425620613616853,0.14392533919334682,50,12,1.0,1.0,False
18,0,307,148.73848968308323,174.23514263035037,25.496652947267137,True,0.3333333333333333,1.0,True,81,0,0.3333333333333333,0.6666666666666666,0.012345679012345678,0.27170213755578426,0.17584014261233927,7,3,1.0,1.0,False
18,0,401,137.49997002446824,154.14953512256588,16.64956509809764,True,0.2222222222222222,1.0,True,54,0,0.3333333333333333,0.5555555555555556,0.018518518518518517,0.22929336852236254,0.20795386277636196,32,7,1.0,1.0,True
18,1,101,160.01745763245225,171.78515207937625,11.767694446923997,True,0.2222222222222222,0.9647342002506414,True,54,0,0.4444444444444444,0.6666666666666666,0.018518518518518517,0.34777047605120137,0.18823364333629977,19,3,1.0,1.0,True
18,1,211,141.7636127636354,153.48082313714855,11.717210373513154,True,0.1111111111111111,0.6928268894739493,True,81,0,0.5555555555555556,0.6666666666666666,0.012345679012345678,0.2295032756570023,0.13514163126135256,129,14,0.5,1.0,False
18,1,307,147.3603518990525,177.9676578100108,30.607305910958303,True,0.4444444444444444,1.0,True,81,0,0.3333333333333333,0.6666666666666666,0.012345679012345678,0.20238969762450304,0.1848623462793416,7,11,0.6666666666666666,1.0,True
18,1,401,129.59904226797644,151.13908395130173,21.540041683325285,True,0.3333333333333333,1.0,True,81,0,0.3333333333333333,0.6666666666666666,0.012345679012345678,0.23071324092191,0.2568299920839666,70,2,1.0,1.0,True
18,2,101,153.07942683534688,176.0663225314769,22.986895696130034,True,0.2222222222222222,1.0,True,24,0,0.4444444444444444,0.6666666666666666,0.041666666666666664,0.3122411992247541,0.17182140105908073,16,22,1.0,0.5,False
18,2,211,145.78169577003337,159.45362484749785,13.671929077464483,True,0.1111111111111111,0.7398228788912533,True,76,0,0.5555555555555556,0.6666666666666666,0.013157894736842105,0.2500361314444645,0.13480744714776774,129,14,0.5,1.0,False
18,2,307,154.58445691478937,171.7956285861534,17.211171671364042,True,0.2222222222222222,1.0,True,56,0,0.5555555555555556,0.6666666666666666,0.017857142857142856,0.18549971150357025,0.07144679158770179,29,10,1.0,1.0,False
18,2,401,133.38008301811197,157.49884896111277,24.118765943000795,True,0.2222222222222222,1.0,True,81,0,0.4444444444444444,0.6666666666666666,0.012345679012345678,0.21096906760042075,0.22935017340761943,44,11,1.0,1.0,True
18,3,101,121.8131728515188,147.77380189556646,25.960629044047664,True,0.2222222222222222,1.0,True,5,0,0.4444444444444444,0.6666666666666666,0.2,0.7491912278742388,0.6493995278535153,4,2,1.0,1.0,True
18,3,211,148.17442241119392,164.50506917426537,16.330646763071456,True,0.1111111111111111,0.8074680575883011,True,0,0,0.5555555555555556,0.6666666666666666,0.013513513513513514,0.2161484648799973,0.11241828571984425,9,6,1.0,1.0,False
18,3,307,126.11838597436372,172.5940079622237,46.475621987859995,True,0.3888888888888889,1.0,True,69,0,0.3333333333333333,0.7222222222222222,0.014492753623188406,0.03342896896381887,0.014458573280419124,11,5,0.6666666666666666,1.0,False
18,3,401,126.1496652390562,158.49442724922147,32.34476201016527,True,0.2777777777777778,1.0,True,81,0,0.5,0.6666666666666666,0.012345679012345678,0.21583955095969645,0.2584331473594252,70,1,1.0,1.0,True
